bc_short_name,bc_id,bc_short_name_id,parent_bc_id,bc_categories,bc_synonyms,result_scales,bc_definition,bc_hierarchy_level,bc_hierarchy_full,dec_n
Kurtzke Functional Systems Scores Clinical Classification,C112522,Kurtzke Functional Systems Scores Clinical Classification (C112522),C118969,QRS;Clinical or Research Assessment Classification;Kurtzke Functional Systems Scores Clinical Classification;KFSS;KFSS1,KFSS,,"A standardized rating scale developed by John F. Kurtzke in 1983 to measure the level of functioning in people with multiple sclerosis based on a standard neurological examination. The questionnaire contains 7 functional system; pyramidal functions, cerebellar functions, brainstem functions, sensory function, bowel and bladder function, visual function, and cerebral (or mental) functions. The functional system (FS) scores collected from this questionnaire are used in conjunction with observations and information regarding ambulation and the use of assistive devices to rate the EDSS.",0,Kurtzke Functional Systems Scores Clinical Classification (C112522),4
Lifestyle,C16795,Lifestyle (C16795),,Behaviors,,,A manner of living that reflects the person's values and attitudes.,0,Lifestyle (C16795),0
Living Quarters,C86029,Living Quarters (C86029),C16632,Subject Characteristics,DWELLTYP;Dwelling Type;Housing;Living Quarters,Nominal,Housing in which people can reside.,0,Living Quarters (C86029),3
Living with Subject Indicator,C135502,Living with Subject Indicator (C135502),C25180,Subject Characteristics,LVSBJIND;Living with Subject Indicator,Nominal,An indication as to whether the associated person is living with the subject.,0,Living with Subject Indicator (C135502),3
Magnesium Measurement,C64840,Magnesium Measurement (C64840),C74946,Laboratory Tests;Chemistry Tests;Electrolyte Measurements,Magnesium;MG,Quantitative;Ordinal,A quantitative measurement of the amount of magnesium present in a sample.,0,Magnesium Measurement (C64840),5
Marital Status,C25188,Marital Status (C25188),C171086,Subject Characteristics,MARISTAT;Marital or partnership status;Marital Status;marital_status;MaritalStatus;MaritalStatusUB92,Nominal,A demographic parameter indicating a person's current conjugal status.,1,Person Status (C171086); Marital Status (C25188),3
Medicaid Indicator,C209688,Medicaid Indicator (C209688),C209446,Subject Characteristics,MDCDIND;Medicaid Indicator,Nominal,An indication as to whether the subject is covered by Medicaid.,1,Health Insurance Indicator (C209446); Medicaid Indicator (C209688),3
Medicare Indicator,C209689,Medicare Indicator (C209689),C209446,Subject Characteristics,MDCRIND;Medicare Indicator,Nominal,An indication as to whether the subject is covered by Medicare.,1,Health Insurance Indicator (C209446); Medicare Indicator (C209689),3
Member of High Risk Population,C102666,Member of High Risk Population (C102666),C19332,Subject Characteristics,RISKPOP;Member of High Risk Population,Nominal,An indication that a person is part of a population group that has a greater chance of contracting a disease or disorder.,0,Member of High Risk Population (C102666),3
Military Health Insurance Indicator,C209685,Military Health Insurance Indicator (C209685),C209446,Subject Characteristics,HIMILIND;Military Health Insurance Indicator,Nominal,An indication as to whether the subject is covered by their own or a family member's military-based health insurance.,1,Health Insurance Indicator (C209446); Military Health Insurance Indicator (C209685),3
Military Status,C171085,Military Status (C171085),C171086,Subject Characteristics,MILTSTAT;Military Status,Nominal,The status of an individual with regard to military service.,1,Person Status (C171086); Military Status (C171085),3
Modified Van Assche Index Clinical Classification,C191038,Modified Van Assche Index Clinical Classification (C191038),,Clinical or Research Assessment Classification;Modified Van Assche Index Clinical Classification Question;Modified Van Assche Index Clinical Classification;MVAI;MVAI1,MVAI;MVAI1,,A standardized scoring system originally developed in 2003 and modified in 2017 that utilizes quantitative radiological evaluation to assess the severity and disease response in perianal fistulizing Crohn disease.,0,Modified Van Assche Index Clinical Classification (C191038),4
National Origin,C28407,National Origin (C28407),C19332,Subject Characteristics,NATORIG;National Origin,Nominal,"System of classification based on nation from which a person originates, regardless of the nation in which he/she currently resides.",0,National Origin (C28407),3
Number of Biological Brothers,C135500,Number of Biological Brothers (C135500),C25337,Subject Characteristics,"BIOBRON;Number of Biological Brothers;Number of Brothers, Biological",Quantitative,The number of brothers that are biologically related to the subject.,0,Number of Biological Brothers (C135500),3
Number of Biological Sisters,C135501,Number of Biological Sisters (C135501),C25337,Subject Characteristics,"BIOSISN;Number of Biological Sisters;Number of Sisters, Biological",Quantitative,The number of sisters that are biologically related to the subject.,0,Number of Biological Sisters (C135501),3
Number of Children in Household,C19309,Number of Children in Household (C19309),C17468,Subject Characteristics,CHLDHSHN;Number of Children in Household,Quantitative,"The number of children (including neonates) residing in the household. May be used as a demographics parameter, useful for identifying socio-economic groups.",0,Number of Children in Household (C19309),3
Number of First Degree Biological Relatives,C198360,Number of First Degree Biological Relatives (C198360),C25337,Subject Characteristics,"BIO1DRN;Num 1st Degree Relatives, Biological;Number of First Degree Biological Relatives;Number of First Degree Relatives, Biological",Quantitative,The number of first degree relatives that are biologically related to the subject.,0,Number of First Degree Biological Relatives (C198360),3
Number of People in Household,C198363,Number of People in Household (C198363),C25337,Subject Characteristics,PPLHSHN;Number of People in Household,Quantitative,The total number of people residing in the household.,0,Number of People in Household (C198363),3
Number of Work Days Per Week Question,C209695,Number of Work Days Per Week Question (C209695),,Subject Characteristics,WRKDYWKN;Number of Work Days Per Week;Number of Work Days Per Week Question,Quantitative,A question regarding the number of days per week the subject works.,0,Number of Work Days Per Week Question (C209695),3
Number of Years of Education,C122393,Number of Years of Education (C122393),C17468,Subject Characteristics,EDUYRNUM;Number of Years of Education,Quantitative,The number of education years that a subject has competed.,0,Number of Years of Education (C122393),3
Occupation,C25193,Occupation (C25193),,Subject Characteristics,EMPJOB;Employee Job;Employment Category;Job;Occupation;occupation type;occupation_type;Type of Work,Nominal,The principal activity that a person does to earn money.,0,Occupation (C25193),3
Occupational Industry,C209690,Occupational Industry (C209690),,Subject Characteristics,OCUPINDS;Business Type;Occupation Type;Occupational Industry;Work Industry,Nominal,Type of business that compensates for work or assigns work to an unpaid worker or volunteer. (USCDI),0,Occupational Industry (C209690),3
PASI Fredriksson Version - Head: Area Score,C191069,PASI Fredriksson Version - Head: Area Score (C191069),C190947,QRS;Clinical or Research Assessment Classification;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification;PASI FREDRIKSSON;PASI03;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question,,Ordinal,Psoriasis Area and Severity Index Fredriksson Version (PASI Fredriksson Version) Head: Area score.,1,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question (C190947); PASI Fredriksson Version - Head: Area Score (C191069),8
PASI Fredriksson Version - Head: Desquamation/Scaling,C191068,PASI Fredriksson Version - Head: Desquamation/Scaling (C191068),C190947,QRS;Clinical or Research Assessment Classification;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification;PASI FREDRIKSSON;PASI03;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question,,Ordinal,Psoriasis Area and Severity Index Fredriksson Version (PASI Fredriksson Version) Head: Desquamation/Scaling score.,1,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question (C190947); PASI Fredriksson Version - Head: Desquamation/Scaling (C191068),8
PASI Fredriksson Version - Head: Erythema/Redness,C191066,PASI Fredriksson Version - Head: Erythema/Redness (C191066),C190947,QRS;Clinical or Research Assessment Classification;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification;PASI FREDRIKSSON;PASI03;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question,,Ordinal,Psoriasis Area and Severity Index Fredriksson Version (PASI Fredriksson Version) Head: Erythema/Redness score.,1,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question (C190947); PASI Fredriksson Version - Head: Erythema/Redness (C191066),8
PASI Fredriksson Version - Head: Thickness/Induration,C191067,PASI Fredriksson Version - Head: Thickness/Induration (C191067),C190947,QRS;Clinical or Research Assessment Classification;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification;PASI FREDRIKSSON;PASI03;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question,,Ordinal,Psoriasis Area and Severity Index Fredriksson Version (PASI Fredriksson Version) Head: Thickness/Induration score.,1,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question (C190947); PASI Fredriksson Version - Head: Thickness/Induration (C191067),8
PASI Fredriksson Version - Lower Extremities: Area Score,C191081,PASI Fredriksson Version - Lower Extremities: Area Score (C191081),C190947,QRS;Clinical or Research Assessment Classification;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification;PASI FREDRIKSSON;PASI03;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question,,Ordinal,Psoriasis Area and Severity Index Fredriksson Version (PASI Fredriksson Version) Lower Extremities: Area score.,1,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question (C190947); PASI Fredriksson Version - Lower Extremities: Area Score (C191081),8
PASI Fredriksson Version - Lower Extremities: Desquamation/Scaling,C191080,PASI Fredriksson Version - Lower Extremities: Desquamation/Scaling (C191080),C190947,QRS;Clinical or Research Assessment Classification;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification;PASI FREDRIKSSON;PASI03;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question,,Ordinal,Psoriasis Area and Severity Index Fredriksson Version (PASI Fredriksson Version) Lower Extremities: Desquamation/Scaling score.,1,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question (C190947); PASI Fredriksson Version - Lower Extremities: Desquamation/Scaling (C191080),8
PASI Fredriksson Version - Lower Extremities: Erythema/Redness,C191078,PASI Fredriksson Version - Lower Extremities: Erythema/Redness (C191078),C190947,QRS;Clinical or Research Assessment Classification;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification;PASI FREDRIKSSON;PASI03;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question,,Ordinal,Psoriasis Area and Severity Index Fredriksson Version (PASI Fredriksson Version) Lower Extremities: Erythema/Redness score.,1,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question (C190947); PASI Fredriksson Version - Lower Extremities: Erythema/Redness (C191078),8
PASI Fredriksson Version - Lower Extremities: Thickness/Induration,C191079,PASI Fredriksson Version - Lower Extremities: Thickness/Induration (C191079),C190947,QRS;Clinical or Research Assessment Classification;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification;PASI FREDRIKSSON;PASI03;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question,,Ordinal,Psoriasis Area and Severity Index Fredriksson Version (PASI Fredriksson Version) Lower Extremities: Thickness/Induration score.,1,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question (C190947); PASI Fredriksson Version - Lower Extremities: Thickness/Induration (C191079),8
PASI Fredriksson Version - Trunk: Area Score,C191077,PASI Fredriksson Version - Trunk: Area Score (C191077),C190947,QRS;Clinical or Research Assessment Classification;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification;PASI FREDRIKSSON;PASI03;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question,,Ordinal,Psoriasis Area and Severity Index Fredriksson Version (PASI Fredriksson Version) Trunk: Area score.,1,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question (C190947); PASI Fredriksson Version - Trunk: Area Score (C191077),8
PASI Fredriksson Version - Trunk: Desquamation/Scaling,C191076,PASI Fredriksson Version - Trunk: Desquamation/Scaling (C191076),C190947,QRS;Clinical or Research Assessment Classification;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification;PASI FREDRIKSSON;PASI03;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question,,Ordinal,Psoriasis Area and Severity Index Fredriksson Version (PASI Fredriksson Version) Trunk: Desquamation/Scaling score.,1,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question (C190947); PASI Fredriksson Version - Trunk: Desquamation/Scaling (C191076),8
PASI Fredriksson Version - Trunk: Erythema/Redness,C191074,PASI Fredriksson Version - Trunk: Erythema/Redness (C191074),C190947,QRS;Clinical or Research Assessment Classification;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification;PASI FREDRIKSSON;PASI03;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question,,Ordinal,Psoriasis Area and Severity Index Fredriksson Version (PASI Fredriksson Version) Trunk: Erythema/Redness score.,1,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question (C190947); PASI Fredriksson Version - Trunk: Erythema/Redness (C191074),8
PASI Fredriksson Version - Trunk: Thickness/Induration,C191075,PASI Fredriksson Version - Trunk: Thickness/Induration (C191075),C190947,QRS;Clinical or Research Assessment Classification;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification;PASI FREDRIKSSON;PASI03;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question,,Ordinal,Psoriasis Area and Severity Index Fredriksson Version (PASI Fredriksson Version) Trunk: Thickness/Induration score.,1,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question (C190947); PASI Fredriksson Version - Trunk: Thickness/Induration (C191075),8
PASI Fredriksson Version - Upper Extremities: Area Score,C191073,PASI Fredriksson Version - Upper Extremities: Area Score (C191073),C190947,QRS;Clinical or Research Assessment Classification;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification;PASI FREDRIKSSON;PASI03;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question,,Ordinal,Psoriasis Area and Severity Index Fredriksson Version (PASI Fredriksson Version) Upper Extremities: Area score.,1,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question (C190947); PASI Fredriksson Version - Upper Extremities: Area Score (C191073),8
PASI Fredriksson Version - Upper Extremities: Desquamation/Scaling,C191072,PASI Fredriksson Version - Upper Extremities: Desquamation/Scaling (C191072),C190947,QRS;Clinical or Research Assessment Classification;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification;PASI FREDRIKSSON;PASI03;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question,,Ordinal,Psoriasis Area and Severity Index Fredriksson Version (PASI Fredriksson Version) Upper Extremities: Desquamation/Scaling score.,1,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question (C190947); PASI Fredriksson Version - Upper Extremities: Desquamation/Scaling (C191072),8
PASI Fredriksson Version - Upper Extremities: Erythema/Redness,C191070,PASI Fredriksson Version - Upper Extremities: Erythema/Redness (C191070),C190947,QRS;Clinical or Research Assessment Classification;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification;PASI FREDRIKSSON;PASI03;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question,,Ordinal,Psoriasis Area and Severity Index Fredriksson Version (PASI Fredriksson Version) Upper Extremities: Erythema/Redness score.,1,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question (C190947); PASI Fredriksson Version - Upper Extremities: Erythema/Redness (C191070),8
PASI Fredriksson Version - Upper Extremities: Thickness/Induration,C191071,PASI Fredriksson Version - Upper Extremities: Thickness/Induration (C191071),C190947,QRS;Clinical or Research Assessment Classification;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification;PASI FREDRIKSSON;PASI03;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question,,Ordinal,Psoriasis Area and Severity Index Fredriksson Version (PASI Fredriksson Version) Upper Extremities: Thickness/Induration score.,1,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question (C190947); PASI Fredriksson Version - Upper Extremities: Thickness/Induration (C191071),8
Patient Global Impression Generic Modification Version Questionnaire,C135739,Patient Global Impression Generic Modification Version Questionnaire (C135739),C91105,QRS;Clinical or Research Assessment Questionnaire;Patient Global Impression Generic Modification Version Questionnaire;PGI;PGI01,PGI;PGI01;PGI Generic Modification Version,,"A modified, generic version of a standardized questionnaire, developed as a patient reported outcomes counterpart for the Clinical Global Impressions scale published by Guy et al. in 1976, that assesses a patient's perception of their condition.",0,Patient Global Impression Generic Modification Version Questionnaire (C135739),4
Person Contact Information,C41085,Person Contact Information (C41085),,Contact Information,,,Information regarding the person who is acting as a channel for communication between groups.,0,Person Contact Information (C41085),0
Person Status,C171086,Person Status (C171086),,Personal Attributes,,,The status of a person at a given time.,0,Person Status (C171086),0
Photography,C94527,Photography (C94527),C17369,Diagnostic Procedure;Imaging Procedure,,Nominal,The process by which an image is acquired by recording light emissions on radiation-sensitive paper.,0,Photography (C94527),10
Physical Activity Lifestyle,C179818,Physical Activity Lifestyle (C179818),C16795,Subject Characteristics,PHYACLFS;Physical Activity Lifestyle,Ordinal;Quantitative,A description of the subject's lifestyle with respect to physical activity.,1,Lifestyle (C16795); Physical Activity Lifestyle (C179818),3
Positron Emission Tomography,C17007,Positron Emission Tomography (C17007),C38093,Diagnostic Imaging;Medical Imaging;Tomagraphy,PET Scan;PET,Nominal,"A technique for measuring the gamma radiation produced by collisions of electrons and positrons (anti-electrons) within living tissue. In positron emission tomography (PET), a subject is given a dose of a positron-emitting radionuclide attached to a metabolically active substance (for example, 2-fluoro-2-deoxy-D-glucose (FDG), which is similar to a naturally occurring sugar, glucose, with the addition of a radioactive fluorine atom). When living tissue containing the positron emitter is bombarded by electrons, gamma radiation produced by collisions of electrons and positrons is detected by a scanner, revealing in fine detail the tissue location of the metabolically-active substance administered.",1,Tomography (C38093); Positron Emission Tomography (C17007),10
Premature Birth Indicator,C112400,Premature Birth Indicator (C112400),C19332,Subject Characteristics,PREMBRTH;premature at birth;Premature Birth Indicator;premature_at_birth,Nominal,An indication as to whether the subject was born prior to 38 weeks gestation.,0,Premature Birth Indicator (C112400),3
Primary Language Spoken,C132459,Primary Language Spoken (C132459),C19332,Subject Characteristics,LNGSPP;Primary Language Spoken;Primary Language Spoken at Home,Nominal,The main language that is spoken by the subject most frequently or dominantly.,0,Primary Language Spoken (C132459),3
Priority of Disease Contact,C102699,Priority of Disease Contact (C102699),C41085,Subject Characteristics,PRICON;Priority of Disease Contact,Ordinal,The categorization of individuals with or without the potential for having tuberculosis.,1,Person Contact Information (C41085); Priority of Disease Contact (C102699),3
Private Health Insurance Indicator,C209686,Private Health Insurance Indicator (C209686),C209446,Subject Characteristics,HIPRVIND;Private Health Insurance Indicator,Nominal,An indication as to whether the subject is covered by their own or a family member's privately-bought health insurance.,1,Health Insurance Indicator (C209446); Private Health Insurance Indicator (C209686),3
Psoriasis Area and Severity Index Fredriksson Version Clinical Classification,C191040,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification (C191040),C118969,QRS;QRS;Clinical or Research Assessment Classification;Psoriasis Area and Severity Index Fredriksson Version Clinical Classification;PASI FREDRIKSSON;PASI03,PASI FREDRIKSSON;PASI Fredriksson Version;PASI03,,"A standardized index developed in 1978 by Fredriksson et al. that combines psoriasis disease severity (measured as erythema, infiltration, and desquamation) and body surface area involvement over 4 body regions (head, trunk, upper and lower extremities) to assess progress during treatment.",0,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification (C191040),4
Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question,C190947,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question (C190947),C211913,QRS Instrument Questions,,,A question associated with the Psoriasis Area and Severity Index Fredriksson Version clinical classification.,0,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question (C190947),0
Radiation Therapy,C15313,Radiation Therapy (C15313),C49236,Oncology Standards;Therapeutic Procedure;Radiation Therapy,Cancer Radiotherapy;Radiotherapeutics;RT,Nominal,Treatment of a disease by means of exposure of the target or the whole body to radiation. Radiation therapy is often used as part of curative therapy and occasionally as a component of palliative treatment for cancer. Other uses include total body irradiation prior to transplantation.,0,Radiation Therapy (C15313),15
Radionuclide Imaging,C62667,Radionuclide Imaging (C62667),C16502,Diagnostic Procedure;Diagnostic Imaging;NM;Nuclear Medicine,Gamma Scan;Nuclear Medicine;Scintigraphy;Radioimaging,Nominal,"An imaging technique that uses a small dose of a radioactive chemical (isotope) called a tracer that can detect sites of cancer growth, trauma, infection or degenerative disorders. The tracer, which is either injected into a vein or swallowed, travels through the bloodstream to the target organ, and emits gamma rays, which are detected by a gamma camera and analyzed by a computer to form an image of the target organ.",0,Radionuclide Imaging (C62667),10
Ribonucleic Acid Measurement,C132301,Ribonucleic Acid Measurement (C132301),,Laboratory Tests;Chemistry Tests;Microbiology Tests,,,The determination of the amount of ribonucleic acids in a biological sample.,0,Ribonucleic Acid Measurement (C132301),0
Risk Factor,C17103,Risk Factor (C17103),,Diagnostic Factors,,,"Any aspect of an individual's life, behavior, an environmental exposure, or an inborn or inherited characteristic that increases the likelihood of a disease, condition or injury.",0,Risk Factor (C17103),0
Rutgeerts Score Clinical Classification,C191039,Rutgeerts Score Clinical Classification (C191039),C118969,QRS;Clinical or Research Assessment Classification;Rutgeerts Score Clinical Classification;RUTGEERTS SCORE;RUTG01,,,A standardized scoring system developed by Rutgeerts et al. in 1990 that is used to assess postoperative disease recurrence in patients that have undergone ileocecal resection as treatment for Crohn disease.,0,Rutgeerts Score Clinical Classification (C191039),4
Secondary Language Spoken,C132460,Secondary Language Spoken (C132460),C19332,Subject Characteristics,LNGSPS;Secondary Language Spoken,Nominal,Additional language(s) that is spoken by the subject but which is not considered the primary language.,0,Secondary Language Spoken (C132460),3
Setting of Disease Contact,C102708,Setting of Disease Contact (C102708),,Subject Characteristics,SETCON;Setting of Contact;Setting of Disease Contact,Nominal,"The environment within which the person may have come into contact with a disease carrier, or played the role of a disease carrier.",0,Setting of Disease Contact (C102708),3
Sex Assigned at Birth,C205472,Sex Assigned at Birth (C205472),,Subject Characteristics,SEXABRTH;Birth Sex;Sex Assigned at Birth,Nominal,"The male or female designation that doctors ascribe to a newborn infant, usually based on the appearance of the child's external genitalia, and that is marked on their birth records.",0,Sex Assigned at Birth (C205472),3
Sex Assigned for Clinical Purpose,C209693,Sex Assigned for Clinical Purpose (C209693),C28421,Subject Characteristics,SXCLUSE;Sex Assigned for Clinical Purpose;Sex for Clinical Use,Nominal,"An arbitrary categorization of individuals based on the assemblage of physical properties related to reproduction, and commonly associated with the designation of such categories as female and male. This designation is based on some combination of observable information from organ inventories, morphological assessment, hormone assessments, genetic testing, observed primary and secondary sex characteristics, menstrual status, and/or obstetric history. Current sex designation may or may not be the same as an individual's sex assigned or reported at birth. (NCI)",0,Sex Assigned for Clinical Purpose (C209693),3
Sexual Orientation,C84361,Sexual Orientation (C84361),C19332,Subject Characteristics,SEXORIE;Sex Orientation;Sexual Orientation;Sexual Preference;Sexuality,Nominal,"The pattern of a person's emotional, romantic, and/or sexual attractions.",0,Sexual Orientation (C84361),3
Skin Classification Scheme,C74562,Skin Classification Scheme (C74562),,Integumentary System Findings,,,A data system used to specify attributes of the skin.,0,Skin Classification Scheme (C74562),0
Small for Gestational Age Indicator,C156662,Small for Gestational Age Indicator (C156662),C25180,Subject Characteristics,SMGAIND;Small for Gestational Age Indicator,Nominal,An indication as to whether the fetus or infant is small for the gestational age.,0,Small for Gestational Age Indicator (C156662),3
Social Risk Factor,C102711,Social Risk Factor (C102711),C17103,Subject Characteristics,RISKSOC;Social Risk Factor,Nominal;Narrative,"Social factors such as personal behavior, lifestyle, or environment belonging to the subject which are known to increase the likelihood of infection and disease.",1,Risk Factor (C17103); Social Risk Factor (C102711),3
Socioeconomic Class,C198364,Socioeconomic Class (C198364),,Subject Characteristics,SOCECCLS;Socioeconomic Class;Socioeconomic Classification,Ordinal,"A characterization or classification of an individual that takes into account economics, demographics, and social interactions, used to stratify individual behaviors within a society or culture.",0,Socioeconomic Class (C198364),3
Solicited Medical History,C200145,Solicited Medical History (C200145),,Reported Events;Medical History Events;Medical Conditions;Presenting Conditions,Medical History;Medical History Collection,Nominal,"Information about an individual's personal medical history that is reported by a healthcare professional, consumer, or patient through an organized data collection system.",0,Solicited Medical History (C200145),14
State-Specific Health Insurance Program Name,C209447,State-Specific Health Insurance Program Name (C209447),C42614,Subject Characteristics,SSHIPNAM;State-Specific Health Ins Program Name;State-Specific Health Insurance Program Name,Nominal,The name of the U.S. state-specific health insurance program.,0,State-Specific Health Insurance Program Name (C209447),3
State-Specific Medicaid Program Name,C209691,State-Specific Medicaid Program Name (C209691),C209447,Subject Characteristics,SSMCDNAM;State-Specific Medicaid Program Name,Nominal,The name of the U.S. state-specific Medicaid program.,1,State-Specific Health Insurance Program Name (C209447); State-Specific Medicaid Program Name (C209691),3
State-Specific Medicare Program Name,C209692,State-Specific Medicare Program Name (C209692),C209447,Subject Characteristics,SSMCRNAM;State-Specific Medicare Program Name,Nominal,The name of the U.S. state-specific Medicare program.,1,State-Specific Health Insurance Program Name (C209447); State-Specific Medicare Program Name (C209692),3
Student Indicator,C147485,Student Indicator (C147485),C25180,Subject Characteristics,STDNTIND;Student Indicator,Nominal,An indication as to whether the subject or associated person is enrolled in school.,0,Student Indicator (C147485),3
Surgical Margins Status,C123560,Surgical Margins Status (C123560),C125581,Pathology;Microscopic Findings,Margin Status;SGMGSTAT,Ordinal,The determination of the presence of actual or potential neoplastic tissue which has been left outside the boundary of a resected specimen within the patient.,0,Surgical Margins Status (C123560),11
Surgical Procedure,C15329,Surgical Procedure (C15329),C25218,Clinical Interventions;Procedures;Operations,Operation;Surgery;Procedure,Nominal,"A diagnostic or treatment procedure performed by manual and/or instrumental means, often involving an incision and the removal or replacement of a diseased organ or tissue; of or relating to or involving or used in surgery or requiring or amenable to treatment by surgery.",0,Surgical Procedure (C15329),12
Symptom,C4876,Symptom (C4876),,Subject Characteristics,Symptom,Nominal;Narrative,Subjective evidence of disease perceived by the patient.,0,Symptom (C4876),3
Tanner Scale Boy Version,C124703,Tanner Scale Boy Version (C124703),C82394,QRS;Clinical or Research Assessment Classification;Tanner Scale-Boy Clinical Classification Question;Tanner Scale Boy Version;TANN02;TANNER SCALE BOY;Tanner Scale-Boy,TANN02;TANNER SCALE BOY;Tanner Scale Boy Version;Tanner Scale-Boy,,"A standardized rating scale developed by Marshal and Tanner in 1970, which is a classification system used to measure physical development in children, adolescents and adults. The boy version of the tanner scale assesses the different stages of physical maturity based on testicular volume, genitalia growth and the development of pubic hair. This instrument has 5 stages.",0,Tanner Scale Boy Version (C124703),4
Tanner Scale Girl Version,C124704,Tanner Scale Girl Version (C124704),C82394,QRS;Clinical or Research Assessment Classification;Tanner Scale-Girl Clinical Classification Question;Tanner Scale Girl Version;TANN01;TANNER SCALE GIRL;Tanner Scale Girl Version;Tanner Scale-Girl,TANN01;TANNER SCALE GIRL;Tanner Scale-Girl,,"A standardized rating scale developed by Marshal and Tanner in 1969, which is a classification system used to measure physical development in children, adolescents and adults. The girl version of the tanner scale assesses the different stages of physical maturity based on breast development and the growth of pubic hair. This instrument has 5 stages.",0,Tanner Scale Girl Version (C124704),4
Tomography,C38093,Tomography (C38093),,Diagnostic Imaging;Medical Imaging,,,Imaging by sections or sectioning.,0,Tomography (C38093),0
Tribal Affiliation,C205754,Tribal Affiliation (C205754),C18823,Subject Characteristics,TRIBAFIL;Tribal Affiliation,Nominal,"The tribe that an individual associates themselves with, regardless of whether or not they are an enrolled member.",1,Group Affiliation (C18823); Tribal Affiliation (C205754),3
Twin Type,C112424,Twin Type (C112424),C19332,Subject Characteristics,TWINTYP;Twin Type,Nominal,The classification of the two offspring born from the same pregnancy.,0,Twin Type (C112424),3
Type of Contagion Contact,C102723,Type of Contagion Contact (C102723),C25284,Subject Characteristics,TYPCON;Type of Contact;Type of Contagion Contact,Nominal,Identification and clinical investigation of disease contacts.,0,Type of Contagion Contact (C102723),3
Unhoused Indicator,C209694,Unhoused Indicator (C209694),C25180,Subject Characteristics,UHOUSIND;Homeless Indicator;Unhoused Indicator,Nominal,An indication as to whether the subject is unhoused.,0,Unhoused Indicator (C209694),3
Village of Permanent Address,C176364,Village of Permanent Address (C176364),,Subject Characteristics,VILLPAD;Village of Permanent Address,Nominal,The village in which an individual permanently resides.,0,Village of Permanent Address (C176364),3
Virus-Based Immunology Test,C210012,Virus-Based Immunology Test (C210012),C16723,Laboratory Tests;Immunology Tests,Virus Immunoassay,,Any laboratory test designed for the detection and/or quantification of viral antigens or their specific antibodies within a biological specimen.,0,Virus-Based Immunology Test (C210012),0
