package_date,short_name,bc_id,ncit_code,parent_bc_id,bc_categories,synonyms,result_scales,definition,system,system_name,code,dec_id,ncit_dec_code,dec_label,data_type,example_set
2026-05-26,Tumor Fragmentation Assessment,C225442,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C170500,C170500,Result Anatomical Location,string,"Supraclavicular Lymph Node;Thoracic Lymph Node;Thyroid Gland;Skin of the Trunk;Mediastinal Lymph Node;Cerebellum;Lung, Left Lower Lobe;Femoral Lymph Node"
2026-05-26,Tumor Fragmentation Assessment,C225442,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C82535,C82535,Test Method,string,MRI;CT Scan;Ultrasound;Photography
2026-05-26,Tumor Fragmentation Assessment,C225443,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C82535,C82535,Test Method,string,MRI;CT Scan;Ultrasound;Photography
2026-05-26,Tumor Identification,C94523,C94523,C94189,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUMIDENT,Nominal,A diagnostic procedure to localize and characterize a tumor.,,,,C51824,C51824,Evaluator,string,Investigator
2026-05-26,Tumor Identification,C94523,C94523,C94189,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUMIDENT,Nominal,A diagnostic procedure to localize and characterize a tumor.,,,,C70856,C70856,Observation Result,string,Target;Non-target;New
2026-05-26,Tumor Identification,C94523,C94523,C94189,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUMIDENT,Nominal,A diagnostic procedure to localize and characterize a tumor.,,,,C170500,C170500,Result Anatomical Location,string,"Supraclavicular Lymph Node;Thoracic Lymph Node;Thyroid Gland;Skin of the Trunk;Mediastinal Lymph Node;Cerebellum;Lung, Left Lower Lobe;Femoral Lymph Node"
2026-05-26,Tumor Identification,C94523,C94523,C94189,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUMIDENT,Nominal,A diagnostic procedure to localize and characterize a tumor.,,,,C25185,C25185,Laterality,string,Right;Left
2026-05-26,Tumor Identification,C94523,C94523,C94189,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUMIDENT,Nominal,A diagnostic procedure to localize and characterize a tumor.,,,,C117442,C117442,Tumor Identifier Reference Identifier,string,IMG-00001;IMG-00002
2026-05-26,Tumor Identification,C94523,C94523,C94189,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUMIDENT,Nominal,A diagnostic procedure to localize and characterize a tumor.,,,,C54215,C54215,Directionality,string,Upper
2026-05-26,Tumor Identification,C94523,C94523,C94189,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUMIDENT,Nominal,A diagnostic procedure to localize and characterize a tumor.,,,,C82515,C82515,Collection Date Time,datetime,
2026-05-26,Tumor Identification,C94523,C94523,C94189,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUMIDENT,Nominal,A diagnostic procedure to localize and characterize a tumor.,,,,C117043,C117043,Evaluator Identifier,string,Radiologist 1;Radiologist 2;Radiologist 3
2026-05-26,Tumor Identification,C94523,C94523,C94189,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUMIDENT,Nominal,A diagnostic procedure to localize and characterize a tumor.,,,,C117436,C117436,Tumor Identifier Link Identifier,string,T01;NT01;NEW01
2026-05-26,Tumor Identification,C94523,C94523,C94189,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUMIDENT,Nominal,A diagnostic procedure to localize and characterize a tumor.,,,,C82535,C82535,Test Method,string,MRI;CT Scan;Ultrasound;Photography
2026-05-26,Tumor Status,C96643,C96643,C171082,Oncology Standards;Tumor/Lesion Results;TR;RECIST 1.1,TUMSTATE;Tumor State,Nominal,The condition or state of the tumor at a particular time.,,,,C82515,C82515,Collection Date Time,datetime,
2026-05-26,Tumor Status,C96643,C96643,C171082,Oncology Standards;Tumor/Lesion Results;TR;RECIST 1.1,TUMSTATE;Tumor State,Nominal,The condition or state of the tumor at a particular time.,,,,C117411,C117411,Tumor Results Group Identifier,string,Target;Non-target;New
2026-05-26,Tumor Status,C96643,C96643,C171082,Oncology Standards;Tumor/Lesion Results;TR;RECIST 1.1,TUMSTATE;Tumor State,Nominal,The condition or state of the tumor at a particular time.,,,,C117412,C117412,Tumor Results Link Group,string,A1;A2;A3
2026-05-26,Tumor Status,C96643,C96643,C171082,Oncology Standards;Tumor/Lesion Results;TR;RECIST 1.1,TUMSTATE;Tumor State,Nominal,The condition or state of the tumor at a particular time.,,,,C117419,C117419,Tumor Results Reference Identifier,string,IMG-00001;IMG-00002
2026-05-26,Tumor Status,C96643,C96643,C171082,Oncology Standards;Tumor/Lesion Results;TR;RECIST 1.1,TUMSTATE;Tumor State,Nominal,The condition or state of the tumor at a particular time.,,,,C70856,C70856,Observation Result,string,Present;Absent;Unequivocal;Equivocal
2026-05-26,Tumor Status,C96643,C96643,C171082,Oncology Standards;Tumor/Lesion Results;TR;RECIST 1.1,TUMSTATE;Tumor State,Nominal,The condition or state of the tumor at a particular time.,,,,C82535,C82535,Test Method,string,MRI;CT Scan;Ultrasound;Photography
