bc_short_name,bc_id,bc_short_name_id,parent_bc_id,bc_categories,bc_synonyms,result_scales,bc_definition,bc_hierarchy_level,bc_hierarchy_full,dec_n
Forced Expiratory Volume in 1 Second Reversibility,C112285,Forced Expiratory Volume in 1 Second Reversibility (C112285),C38081,Respiratory System Findings;Pulmonary Function Test,FEV1 Reversibility;FEV1REV,Quantitative,The change in FEV1 following administration of a bronchodilator relative to the pre-treatment FEV1 value. (CDISC),1,Pulmonary Function Test (C38081); Forced Expiratory Volume in 1 Second Reversibility (C112285),2
Forced Expiratory Volume in 1 Second to Forced Vital Capacity Ratio Measurement,C111359,Forced Expiratory Volume in 1 Second to Forced Vital Capacity Ratio Measurement (C111359),C38081,Respiratory System Findings;Pulmonary Function Test,FEV1/FVC;FEV1FVC,Quantitative,The proportion of total forced vital capacity that is expelled during the first second of a forced exhalation.,1,Pulmonary Function Test (C38081); Forced Expiratory Volume in 1 Second to Forced Vital Capacity Ratio Measurement (C111359),3
Forced Expiratory Volume in 1 Second to Forced Vital Capacity in 6 Seconds,C123565,Forced Expiratory Volume in 1 Second to Forced Vital Capacity in 6 Seconds (C123565),C38081,Respiratory System Findings;Pulmonary Function Test,FEV1/FVC6;FEV1FVC6,Quantitative,A calculated ratio of the forced expiratory volume in one second to the largest observed expired volume during the first six seconds of a forced vital capacity (FVC) maneuver.,1,Pulmonary Function Test (C38081); Forced Expiratory Volume in 1 Second to Forced Vital Capacity in 6 Seconds (C123565),3
Forced Expiratory Volume in 1 Second to Slow Vital Capacity Ratio Measurement,C170626,Forced Expiratory Volume in 1 Second to Slow Vital Capacity Ratio Measurement (C170626),C38081,Respiratory System Findings;Pulmonary Function Test,FEV1/SVC;FEV1SVC,Quantitative,A relative measurement (ratio or percentage) of the forced expiratory volume during the first second of exhalation to the largest observed expired volume during a slow vital capacity maneuver.,1,Pulmonary Function Test (C38081); Forced Expiratory Volume in 1 Second to Slow Vital Capacity Ratio Measurement (C170626),3
Forced Expiratory Volume in 3 Seconds,C132453,Forced Expiratory Volume in 3 Seconds (C132453),C38081,Respiratory System Findings;Pulmonary Function Test,FEV3,Quantitative,The volume exhaled during the first three seconds of a forced expiratory maneuver that is started from the level of total lung capacity.,1,Pulmonary Function Test (C38081); Forced Expiratory Volume in 3 Seconds (C132453),3
Forced Expiratory Volume in 3 Seconds to Forced Vital Capacity Ratio Measurement,C170625,Forced Expiratory Volume in 3 Seconds to Forced Vital Capacity Ratio Measurement (C170625),C38081,Respiratory System Findings;Pulmonary Function Test,FEV3/FVC;FEV3FVC,Quantitative,A relative measurement (ratio or percentage) of the forced expiratory volume during the first three seconds of exhalation to the largest observed expired volume during a forced vital capacity maneuver.,1,Pulmonary Function Test (C38081); Forced Expiratory Volume in 3 Seconds to Forced Vital Capacity Ratio Measurement (C170625),3
Forced Expiratory Volume in 6 Seconds,C47843,Forced Expiratory Volume in 6 Seconds (C47843),C38081,Respiratory System Findings;Pulmonary Function Test,FEV6;Forced Expiratory Volume 6;Forced Expiratory Volume 6 Test,Quantitative,"A test of lung function, the FEV6 is the volume exhaled during six seconds of a forced expiratory maneuver started from the level of total lung capacity.",1,Pulmonary Function Test (C38081); Forced Expiratory Volume in 6 Seconds (C47843),3
Forced Inspiratory Flow at 25%,C124418,Forced Inspiratory Flow at 25% (C124418),C38081,Respiratory System Findings;Pulmonary Function Test,FIF25,Quantitative,The forced inspiratory flow rate at the point on the inspiratory flow-volume curve where 25 percent of the total volume of gas has been inhaled.,1,Pulmonary Function Test (C38081); Forced Inspiratory Flow at 25% (C124418),3
Forced Inspiratory Flow at 50%,C124419,Forced Inspiratory Flow at 50% (C124419),C38081,Respiratory System Findings;Pulmonary Function Test,FIF50,Quantitative,The forced inspiratory flow rate at the point on the inspiratory flow-volume curve where 50 percent of the total volume of gas has been inhaled.,1,Pulmonary Function Test (C38081); Forced Inspiratory Flow at 50% (C124419),3
Forced Inspiratory Flow at 75%,C124420,Forced Inspiratory Flow at 75% (C124420),C38081,Respiratory System Findings;Pulmonary Function Test,FIF75,Quantitative,The forced inspiratory flow rate at the point on the inspiratory flow-volume curve where 75 percent of the total volume of gas has been inhaled.,1,Pulmonary Function Test (C38081); Forced Inspiratory Flow at 75% (C124420),3
Forced Inspiratory Vital Capacity,C139263,Forced Inspiratory Vital Capacity (C139263),C38081,Respiratory System Findings;Pulmonary Function Test,FIVC,Quantitative,The difference in lung volume between maximal expiration to residual volume followed immediately by full inspiration to total lung capacity during forceful inhalation.,1,Pulmonary Function Test (C38081); Forced Inspiratory Vital Capacity (C139263),3
Forced Inspiratory Volume in 1 Second,C111360,Forced Inspiratory Volume in 1 Second (C111360),C38081,Respiratory System Findings;Pulmonary Function Test,FIV1,Quantitative,The volume of air that a subject can breathe in during the first second of inhalation after maximum exhalation.,1,Pulmonary Function Test (C38081); Forced Inspiratory Volume in 1 Second (C111360),3
Forced Vital Capacity,C111361,Forced Vital Capacity (C111361),C38081,Respiratory System Findings;Pulmonary Function Test,FVC,Quantitative,The maximum volume of air that can be exhaled after forced maximum inhalation.,1,Pulmonary Function Test (C38081); Forced Vital Capacity (C111361),3
Forced Vital Capacity in 6 Seconds,C124421,Forced Vital Capacity in 6 Seconds (C124421),C38081,Respiratory System Findings;Pulmonary Function Test,FVC6,Quantitative,The volume of gas a subject can forcefully exhale during the first six seconds following maximum inhalation.,1,Pulmonary Function Test (C38081); Forced Vital Capacity in 6 Seconds (C124421),3
Forearm Circumference,C100946,Forearm Circumference (C100946),C172255,Vital Signs;Body Measurements,FARMCIR,Quantitative,A circumferential measurement of the largest part of the forearm.,1,Anatomical Circumference (C172255); Forearm Circumference (C100946),3
Fraction of Inspired Oxygen,C38082,Fraction of Inspired Oxygen (C38082),C38081,Respiratory System Findings;Pulmonary Function Test;Vital Signs,Maximum fraction of inspired oxygen (FiO2);Inhaled oxygen concentration;FIO2;FiO2,Quantitative,The molar fraction of oxygen in an inhaled gas.,1,Pulmonary Function Test (C38081); Fraction of Inspired Oxygen (C38082),3
Functional Residual Capacity,C89800,Functional Residual Capacity (C89800),C38081,Respiratory System Findings;Pulmonary Function Test,FRC,Quantitative,The volume of air remaining in the lungs after a normal exhalation.,1,Pulmonary Function Test (C38081); Functional Residual Capacity (C89800),3
Gas Measurement,C82624,Gas Measurement (C82624),C49237,Laboratory Tests;Chemistry Tests;Gas Measurements;Respiratory System Findings,Gas,,A measurement of the gas in a sample.,0,Gas Measurement (C82624),0
Head Circumference,C81255,Head Circumference (C81255),C172255,Vital Signs;Body Measurements,HDCIRC;Occipital-Frontal Circumference,Quantitative,"A circumferential measurement of the head at the widest point, which is traditionally above the eyebrows.",1,Anatomical Circumference (C172255); Head Circumference (C81255),3
Head Circumference-for-Age Percentile,C205753,Head Circumference-for-Age Percentile (C205753),,Vital Signs;Body Measurements,HCRAPCTL;Head Occipital-Frontal Circumference-for-Age Percentile,Quantitative,"A measurement of an individual's head circumference in relationship to age, in comparison to a reference percentile curve.",0,Head Circumference-for-Age Percentile (C205753),2
"Heart Rate Variability, Average Standard Deviation NN Interval Measurement",C199998,"Heart Rate Variability, Average Standard Deviation NN Interval Measurement (C199998)",C199682,Cardiac Function Study;Heart Rate Variability,"Heart Rate Variability, Average Standard Deviation NN Interval;Heart Rate Variability, SDANN;HRVSDANN",Quantitative,"A measurement of the fluctuation in the time intervals between adjacent heartbeats, based on the average standard deviation of the means of consecutive 5 minute NN intervals over a period of time.",2,"Cardiac Function Study (C16094); Heart Rate Variability, Standard Deviation NN Interval Measurement (C199682); Heart Rate Variability, Average Standard Deviation NN Interval Measurement (C199998)",3
"Heart Rate Variability, Standard Deviation NN Interval Measurement",C199682,"Heart Rate Variability, Standard Deviation NN Interval Measurement (C199682)",C16094,Cardiac Function Study;Heart Rate Variability,"Heart Rate Variability, SDNN;Heart Rate Variability, Standard Deviation NN Interval;HRVSDNN",Quantitative,"A measurement of the fluctuation in the time intervals between adjacent heartbeats, based on the standard deviation of the NN interval.",1,"Cardiac Function Study (C16094); Heart Rate Variability, Standard Deviation NN Interval Measurement (C199682)",3
Height-for-Age Percentile,C163568,Height-for-Age Percentile (C163568),,Vital Signs;Body Measurements,HTAPCTL,Quantitative,"A measurement of an individual's height in relationship to age, in comparison to a reference percentile curve.",0,Height-for-Age Percentile (C163568),2
Hemoglobin Corrected Diffusion Capacity of the Lung for Carbon Monoxide,C120825,Hemoglobin Corrected Diffusion Capacity of the Lung for Carbon Monoxide (C120825),C38081,Respiratory System Findings;Pulmonary Function Test,DLCOHC;HGB Corrected DLCO,Quantitative,An assessment of the diffusion capacity of the lungs for carbon monoxide adjusted for hemoglobin concentration.,1,Pulmonary Function Test (C38081); Hemoglobin Corrected Diffusion Capacity of the Lung for Carbon Monoxide (C120825),3
Hemoglobin Corrected Diffusion Capacity of the Lung for Carbon Monoxide/Alveolar Volume Ratio,C120827,Hemoglobin Corrected Diffusion Capacity of the Lung for Carbon Monoxide/Alveolar Volume Ratio (C120827),C38081,Respiratory System Findings;Pulmonary Function Test,DLCOHCVA;HGB Corrected DLCO/VA,Quantitative,The diffusion capacity of the lungs for carbon monoxide adjusted for the ratio of hemoglobin concentration to alveolar volume.,1,Pulmonary Function Test (C38081); Hemoglobin Corrected Diffusion Capacity of the Lung for Carbon Monoxide/Alveolar Volume Ratio (C120827),3
Hip Circumference,C100947,Hip Circumference (C100947),C172255,Vital Signs;Body Measurements,HIPCIR,Quantitative,A circumferential measurement of the largest part of the hip.,1,Anatomical Circumference (C172255); Hip Circumference (C100947),3
Histopathologic Examination,C18190,Histopathologic Examination (C18190),,Respiratory System Findings,Histopathological;HISTOPATHOLOGY;histopathology;Histopathologic Study;Histopathology,,The microscopic study of characteristic tissue abnormalities by employing various cytochemical and immunocytochemical stains.,0,Histopathologic Examination (C18190),0
Ideal Body Weight,C117976,Ideal Body Weight (C117976),C81328,Vital Signs;Body Measurements,IDEALWT,Quantitative,A person's optimum weight as calculated by a standard methodology.,0,Ideal Body Weight (C117976),3
Indicator,C25180,Indicator (C25180),,Clinical Findings Indicator;Clinical Trial Attribute;Death Diagnosis and Details;Disease Response;Event Occurrence Indicators;Exposure;Indicator;Oncology Standards;Recurrence;Reproductive Findings;Respiratory System Findings;Trial Summary;TU;Tumor/Lesion Identification;Urinary System Findings,,,"An event, entity or condition that typically characterizes a prescribed environment or situation and determines or aids in determining whether certain stated circumstances exist or criteria are satisfied.",0,Indicator (C25180),0
Infiltrates Indicator,C171512,Infiltrates Indicator (C171512),C25180,Respiratory System Findings,INFLTIND,Nominal,An indication as to whether infiltrates have occurred.,1,Indicator (C25180); Infiltrates Indicator (C171512),2
Inspiratory Capacity,C111362,Inspiratory Capacity (C111362),C38081,Respiratory System Findings;Pulmonary Function Test,IC,Quantitative,The maximum volume of air a subject can inhale into the lungs after a tidal exhalation (IRV plus TV).,1,Pulmonary Function Test (C38081); Inspiratory Capacity (C111362),3
Inspiratory Capacity Reversibility,C112321,Inspiratory Capacity Reversibility (C112321),C38081,Respiratory System Findings;Pulmonary Function Test,IC Reversibility;ICREV,Quantitative,The change in IC following administration of a bronchodilator relative to the pre-treatment IC value. (CDISC),1,Pulmonary Function Test (C38081); Inspiratory Capacity Reversibility (C112321),2
Inspiratory Reserve Volume,C111237,Inspiratory Reserve Volume (C111237),C38081,Respiratory System Findings;Pulmonary Function Test,IRV,Quantitative,The maximum volume of air a subject can inhale into the lungs after a tidal inhalation.,1,Pulmonary Function Test (C38081); Inspiratory Reserve Volume (C111237),3
Inspiratory Vital Capacity,C124423,Inspiratory Vital Capacity (C124423),C38081,Respiratory System Findings;Pulmonary Function Test,IVC,Quantitative,The maximum volume of gas an individual can inhale from the point of maximal exhalation.,1,Pulmonary Function Test (C38081); Inspiratory Vital Capacity (C124423),3
Interpretation,C41255,Interpretation (C41255),C25391,Respiratory System Findings,INTERPRETATION;INTP,Nominal;Narrative,"An act or process of elucidation, explication, or explanation of the meaning of an event or thing.",1,Analysis (C25391); Interpretation (C41255),2
Knee to Heel Length Measurement,C84372,Knee to Heel Length Measurement (C84372),C49680,Vital Signs;Body Measurements,Knee to Heel Length;KNEEHEEL;Knee Height;Lower Leg Length,Quantitative,A measurement of the length of the lower leg from the top of the knee to the bottom of the heel. This measurement may be taken with a knemometer or calipers.,0,Knee to Heel Length Measurement (C84372),3
Lean Body Mass,C71258,Lean Body Mass (C71258),C19332,Vital Signs;Mass Measurement,LBM,Quantitative,The mass of the body minus the fat.,0,Lean Body Mass (C71258),3
Lean Body Mass to Total Body Mass Ratio,C139219,Lean Body Mass to Total Body Mass Ratio (C139219),C19332,Vital Signs;Mass Measurement,LBMTBMR,Quantitative,The proportion of an individual's lean body mass to his total body weight; lean body mass is calculated by subtracting body fat from total body weight.,0,Lean Body Mass to Total Body Mass Ratio (C139219),3
Lean Tissue Mass Measurement,C199997,Lean Tissue Mass Measurement (C199997),C112025,Vital Signs;Mass Measurement,Lean Tissue Mass;LTM,Quantitative,The weight of a tissue part or whole tissue in an individual less the weight of the individual's body fat within that tissue part or whole tissue.,0,Lean Tissue Mass Measurement (C199997),3
Lobar Volume,C174232,Lobar Volume (C174232),C38081,Respiratory System Findings;Pulmonary Function Test,LOBVOL,Quantitative,A measurement of the total volume of gas in a lobe of the lung at a specified point in time during the respiratory cycle.,1,Pulmonary Function Test (C38081); Lobar Volume (C174232),3
Lung Clearance Index,C124425,Lung Clearance Index (C124425),C38081,Respiratory System Findings;Pulmonary Function Test,LCI,Quantitative,"A representative measurement of the number of times the volume of gas in the lung at the start of the washout (the Functional Residual Capacity) must be recycled to eliminate the tracer to the pre-defined endpoint. Practically, this is the point where the end tidal concentration of inert gas is less than 1/40th of the opening concentration.",1,Pulmonary Function Test (C38081); Lung Clearance Index (C124425),2
