bc_short_name,bc_id,bc_short_name_id,parent_bc_id,bc_categories,bc_synonyms,result_scales,bc_definition,bc_hierarchy_level,bc_hierarchy_full,dec_n
Specific Airway Volume,C170618,Specific Airway Volume (C170618),C170457,Respiratory System Findings,SAWVOL,Quantitative,"A parameter used in functional respiratory imaging, derived by dividing the airway volume of a specified intrapulmonary region by the total volume of the same specified intrapulmonary region.",2,Volume (C25335); Airway Volume (C170457); Specific Airway Volume (C170618),3
Subscapular Skinfold Thickness,C98785,Subscapular Skinfold Thickness (C98785),C77537,Vital Signs;Body Measurements,SSSKNF,Quantitative,A measurement of the thickness of a pinch of skin situated below or on the underside of the scapula.,1,Skinfold Thickness Analysis (C77537); Subscapular Skinfold Thickness (C98785),3
Symptom Indicator,C119241,Symptom Indicator (C119241),,Musculoskeletal Finding;Symptom Indicator;Reproductive Findings;Clinical Findings Indicator;Symptom Indicator;Skin Response;Reproductive Findings;Respiratory System Findings,SYMPINDC,,An indication as to whether the subject had symptoms related to the clinical event of interest.,0,Symptom Indicator (C119241),0
Systolic Blood Pressure-for-Age Percentile,C172608,Systolic Blood Pressure-for-Age Percentile (C172608),,Vital Signs;Blood Pressure,SBPAPCTL;Systolic BP-for-Age Percentile,Quantitative,"A measurement of an individual's systolic blood pressure in relationship to age, in comparison to a reference percentile curve.",0,Systolic Blood Pressure-for-Age Percentile (C172608),2
Systolic Blood Pressure-for-Height Percentile,C172607,Systolic Blood Pressure-for-Height Percentile (C172607),,Vital Signs;Blood Pressure,SBPHPCTL;Systolic BP-for-Height Percentile,Quantitative,"A measurement of an individual's systolic blood pressure in relationship to height, in comparison to a reference percentile curve.",0,Systolic Blood Pressure-for-Height Percentile (C172607),2
Thoracic Gas Volume,C124426,Thoracic Gas Volume (C124426),C38081,Respiratory System Findings;Pulmonary Function Test,TGV,Quantitative,The absolute volume of gas contained in the thoracic cavity at any given point in time and at any level of alveolar pressure.,1,Pulmonary Function Test (C38081); Thoracic Gas Volume (C124426),3
Tibial Length,C191365,Tibial Length (C191365),C25334,Vital Signs;Body Measurements,TIBIAL,Quantitative,A measurement of the length of the tibia.,0,Tibial Length (C191365),3
Tidal Volume,C111324,Tidal Volume (C111324),C38081,Respiratory System Findings;Pulmonary Function Test,TIDALVOL;TV,Quantitative,The volume of air moved into and out of the lungs during breathing at rest.,1,Pulmonary Function Test (C38081); Tidal Volume (C111324),3
Tissue Elastance,C139260,Tissue Elastance (C139260),C38081,Respiratory System Findings;Pulmonary Function Test,TSUELAS,Quantitative,A reflection of energy conservation within a given tissue.,1,Pulmonary Function Test (C38081); Tissue Elastance (C139260),3
Tissue Hysteresivity Measurement,C139261,Tissue Hysteresivity Measurement (C139261),C38081,Respiratory System Findings;Pulmonary Function Test,Tissue Hysteresivity;TSUHYS,Quantitative,"The energy dissipated relative to the elastic energy stored in the tissue in a P-V cycle. Fredberg, J.J., Stamenovic, D. (1 December 1989). On the Imperfect Elasticity of Lung Tissue. Journal of Applied Physiology, Vol. 67. Retrieved from https://owl.english.purdue.edu/owl/resource/560/10/",1,Pulmonary Function Test (C38081); Tissue Hysteresivity Measurement (C139261),2
Total Body Length,C81298,Total Body Length (C81298),C25334,Vital Signs;Body Measurements,BODLNGTH;Body Length,Quantitative,The total linear extent of the body.,0,Total Body Length (C81298),3
Total Body Water Measurement,C104622,Total Body Water Measurement (C104622),C20989,Vital Signs;Body Water Measurement,TBW;Total Body Water,Quantitative,"A measurement of the quantity of water within the body, including both the intracellular and extracellular compartments.",1,Physical Examination (C20989); Total Body Water Measurement (C104622),3
Total Lung Capacity,C111325,Total Lung Capacity (C111325),C38081,Respiratory System Findings;Pulmonary Function Test,Lung volume test;TLC;TLUNGCAP;Total lung capacity,Quantitative,The total volume of air in the lungs after maximum inhalation.,1,Pulmonary Function Test (C38081); Total Lung Capacity (C111325),3
Total Respiratory System Resistance,C122185,Total Respiratory System Resistance (C122185),C38081,Respiratory System Findings;Pulmonary Function Test,RRS,Quantitative,"A calculated value based on all factors that influence the flow of gas from the airway opening to the alveoli, including airway resistance, and tissue resistance of the lung and chest wall.",1,Pulmonary Function Test (C38081); Total Respiratory System Resistance (C122185),3
Triceps Skinfold Thickness,C98793,Triceps Skinfold Thickness (C98793),C77537,Vital Signs;Body Measurements,TRSKNF,Quantitative,A measurement of the thickness of a pinch of skin on the triceps.,1,Skinfold Thickness Analysis (C77537); Triceps Skinfold Thickness (C98793),3
Ulnar Length,C174376,Ulnar Length (C174376),C25334,Vital Signs;Body Measurements,ULNARL,Quantitative,A measurement of the length of the ulna.,0,Ulnar Length (C174376),3
Ventilatory Threshold,C123909,Ventilatory Threshold (C123909),,Respiratory System Findings,,,The point during exercise at which pulmonary ventilation becomes disproportionately high with respect to oxygen consumption.,0,Ventilatory Threshold (C123909),0
Volume,C25335,Volume (C25335),,Respiratory System Findings,Vol;Total Volume,,The amount of three dimensional space occupied by an object or the capacity of a space or container.,0,Volume (C25335),0
Volume Measurement,C74720,Volume Measurement (C74720),,Respiratory System Findings,VOL;VOLUME;Volume,,The determination of the volume of a sample.,0,Volume Measurement (C74720),0
Waist to Heel Length,C181552,Waist to Heel Length (C181552),C25334,Vital Signs;Body Measurements,WASTHEEL,Quantitative,A measurement from the top of the waist to the bottom of the heel.,0,Waist to Heel Length (C181552),3
Waist-Hip Ratio,C17651,Waist-Hip Ratio (C17651),C19332,Vital Signs;Body Measurements,Waist to Hip Ratio;WAISTHIP,Quantitative,The ratio of the abdominal circumference at the navel to maximum hip and buttocks circumference; looks at the proportion of fat stored on the body around the waist and hip. Carrying extra weight around the waist is a greater health risk than carrying extra weight around the hips or thighs.,0,Waist-Hip Ratio (C17651),3
Weight-for-Age Percentile,C163569,Weight-for-Age Percentile (C163569),,Vital Signs;Body Measurements,WTAPCTL,Quantitative,"A measurement of an individual's weight in relationship to age, in comparison to a reference percentile curve.",0,Weight-for-Age Percentile (C163569),2
Weight-for-Height Percentile,C163570,Weight-for-Height Percentile (C163570),,Vital Signs;Body Measurements,WTHTPCTL,Quantitative,"A measurement of an individual's weight in relationship to height, in comparison to a reference percentile curve.",0,Weight-for-Height Percentile (C163570),2
